"事件時間","事件細目"
"2024-09-09T05:43:11Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T03:21:41Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T17:03:10Z","{""服務項目"":""POS"",""機器人數量"":2""部門"":"台中"}"
"2024-09-09T05:13:11Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-08T15:10:10Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-09T05:37:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T07:10:47Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T12:42:11Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T00:39:41Z","{""服務項目"":""POS"",""機器人數量"":13""部門"":"台中"}"
"2024-09-09T06:43:10Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T03:57:41Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T04:45:32Z","{""服務項目"":""POS"",""機器人數量"":18""部門"":"台中"}"
"2024-09-08T06:50:11Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T12:45:10Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-09T04:43:10Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-10T03:20:41Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-09T12:20:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T04:08:41Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T04:10:41Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T22:53:41Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-08T22:54:41Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-09T11:41:10Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T12:26:11Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-08T23:27:41Z","{""服務項目"":""POS"",""機器人數量"":9""部門"":"台中"}"
"2024-09-09T03:24:41Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-08T12:24:11Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-10T15:55:10Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-11T12:14:32Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T22:07:41Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T12:22:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T17:23:10Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T05:57:32Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T22:34:57Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-10T13:22:10Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-08T22:06:41Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-10T05:36:11Z","{""服務項目"":""POS"",""機器人數量"":9""部門"":"台中"}"
"2024-09-09T02:00:10Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T12:34:32Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-09T05:49:11Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T05:12:11Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T08:30:41Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T01:03:32Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T05:34:47Z","{""機器人數量"":19,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T10:33:57Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T03:04:57Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-12T05:39:32Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T06:10:32Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-11T05:33:32Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-12T09:37:57Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T05:42:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T22:03:57Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T05:27:32Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T02:12:57Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T06:38:11Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-09T05:25:11Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T09:40:41Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T14:10:10Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-13T09:54:57Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-13T05:10:32Z","{""服務項目"":""POS"",""機器人數量"":15""部門"":"台中"}"
"2024-09-08T06:32:11Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-11T12:08:10Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-13T13:38:10Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-12T06:49:10Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T01:13:10Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T10:02:57Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-12T10:03:57Z","{""服務項目"":""POS"",""機器人數量"":13""部門"":"台中"}"
"2024-09-10T11:47:11Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T03:32:41Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T03:33:41Z","{""服務項目"":""POS"",""機器人數量"":14""部門"":"台中"}"
"2024-09-08T07:36:10Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T22:44:07Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-11T01:19:32Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-10T03:05:41Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T03:06:41Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T06:09:32Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-08T09:02:41Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T14:46:32Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-12T03:14:57Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-12T02:26:57Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T16:49:10Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T12:36:11Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-13T23:33:57Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-13T23:35:57Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T05:03:32Z","{""服務項目"":""POS"",""機器人數量"":16""部門"":"台中"}"
"2024-09-09T13:29:10Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T22:32:41Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-13T10:30:57Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T06:44:11Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-08T22:03:41Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-10T09:01:41Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T09:00:57Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T17:38:10Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T09:55:57Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-10T06:00:11Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-09T05:55:11Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T08:57:57Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T08:58:57Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-14T12:55:10Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T05:31:11Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T06:03:32Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T11:16:41Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T04:10:41Z","{""服務項目"":""POS"",""機器人數量"":18""部門"":"台中"}"
"2024-09-10T04:11:41Z","{""服務項目"":""POS"",""機器人數量"":19""部門"":"台中"}"
"2024-09-08T12:00:11Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T23:56:41Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-10T01:42:10Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T23:35:57Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T13:01:32Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T15:52:10Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-12T06:09:32Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-13T22:38:57Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-12T23:07:57Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-11T10:34:57Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T12:28:11Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-14T05:43:32Z","{""服務項目"":""POS"",""機器人數量"":16""部門"":"台中"}"
"2024-09-13T09:44:57Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T12:53:32Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-08T05:47:11Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-10T05:30:11Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T22:38:57Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T04:11:57Z","{""服務項目"":""POS"",""機器人數量"":20""部門"":"台中"}"
"2024-09-13T05:52:32Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-13T12:07:32Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T01:05:10Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-10T01:48:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T22:52:07Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-10T05:18:11Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-12T08:57:57Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-12T22:05:57Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T07:47:10Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T12:19:32Z","{""服務項目"":""POS"",""機器人數量"":13""部門"":"台中"}"
"2024-09-14T14:40:10Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-12T01:53:10Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-12T05:09:32Z","{""服務項目"":""POS"",""機器人數量"":15""部門"":"台中"}"
"2024-09-12T05:33:32Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T03:33:07Z","{""服務項目"":""POS"",""機器人數量"":14""部門"":"台中"}"
"2024-09-08T11:42:10Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T12:14:11Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T09:34:57Z","{""服務項目"":""POS"",""機器人數量"":13""部門"":"台中"}"
"2024-09-11T05:51:32Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-13T12:31:32Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-11T09:49:57Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T11:43:32Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-10T06:20:10Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-08T08:41:41Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T08:17:57Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-08T00:23:41Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-12T05:27:32Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-13T15:01:10Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-14T06:25:32Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T22:03:57Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T08:19:41Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-10T22:04:07Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T04:03:41Z","{""服務項目"":""POS"",""機器人數量"":16""部門"":"台中"}"
"2024-09-09T05:01:11Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T22:51:57Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-08T12:30:11Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T03:04:41Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T05:22:32Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T09:10:41Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-12T22:48:57Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T13:19:10Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T12:06:11Z","{""服務項目"":""POS"",""機器人數量"":13""部門"":"台中"}"
"2024-09-14T09:41:57Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T03:05:07Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T15:07:57Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T17:09:10Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T14:01:10Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-14T00:07:57Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T23:08:41Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T03:34:57Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T22:37:57Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T05:15:32Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T13:35:32Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T10:07:41Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-13T04:58:32Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-14T13:29:10Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T05:48:11Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-12T22:25:57Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-11T04:13:07Z","{""機器人數量"":20,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T05:24:11Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T12:30:10Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-12T22:37:57Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
