"事件時間","事件細目"
"2024-09-14T07:02:32Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T06:25:47Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T16:09:10Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-14T07:55:10Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-13T05:40:32Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-10T09:16:41Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T00:34:57Z","{""服務項目"":""POS"",""機器人數量"":13""部門"":"台中"}"
"2024-09-13T12:01:10Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T05:45:32Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T15:47:10Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T10:32:41Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T05:53:11Z","{""服務項目"":""POS"",""機器人數量"":16""部門"":"台中"}"
"2024-09-13T12:13:32Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T04:57:32Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-12T04:51:32Z","{""服務項目"":""POS"",""機器人數量"":18""部門"":"台中"}"
"2024-09-10T04:07:41Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-10T23:48:07Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T00:57:10Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-10T11:41:10Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T12:25:32Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-10T16:56:10Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T04:06:07Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-10T23:32:07Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T23:22:57Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-11T04:04:07Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T05:41:11Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T06:05:11Z","{""服務項目"":""POS"",""機器人數量"":14""部門"":"台中"}"
"2024-09-09T22:43:41Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-14T09:08:57Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T11:37:32Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T05:21:32Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T11:59:10Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T09:21:57Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-09T05:07:11Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T23:13:57Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T05:09:32Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T03:04:41Z","{""服務項目"":""POS"",""機器人數量"":19""部門"":"台中"}"
"2024-09-14T09:44:57Z","{""服務項目"":""POS"",""機器人數量"":15""部門"":"台中"}"
"2024-09-13T12:37:32Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T05:03:32Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T09:35:41Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T02:52:10Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T22:53:41Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-12T02:29:57Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T03:07:57Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-11T08:43:57Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-11T12:47:32Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T04:48:11Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T09:31:41Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-13T23:04:57Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T15:07:32Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-10T04:42:10Z","{""服務項目"":""POS"",""機器人數量"":18""部門"":"台中"}"
"2024-09-12T12:23:32Z","{""服務項目"":""POS"",""機器人數量"":9""部門"":"台中"}"
"2024-09-10T08:29:41Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T22:53:07Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-14T13:07:32Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T05:06:11Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T22:04:57Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T22:56:57Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T17:04:10Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T15:58:10Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T09:08:57Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T06:19:32Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T07:42:11Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-08T02:09:41Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T05:21:32Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T05:46:32Z","{""服務項目"":""POS"",""機器人數量"":9""部門"":"台中"}"
"2024-09-14T06:01:32Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T04:39:10Z","{""機器人數量"":19,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T23:25:41Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T10:08:41Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-14T03:04:57Z","{""服務項目"":""POS"",""機器人數量"":16""部門"":"台中"}"
"2024-09-14T03:05:57Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T03:06:57Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T11:42:32Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T05:04:32Z","{""服務項目"":""POS"",""機器人數量"":16""部門"":"台中"}"
"2024-09-11T11:49:32Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T05:45:32Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-08T09:04:41Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-13T05:58:32Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-13T14:08:10Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T04:14:57Z","{""機器人數量"":20,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T05:51:32Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-13T09:32:57Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-09T05:19:11Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-13T03:27:57Z","{""服務項目"":""POS"",""機器人數量"":13""部門"":"台中"}"
"2024-09-14T11:36:10Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T04:46:10Z","{""機器人數量"":19,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T06:50:10Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-11T05:39:32Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T03:58:57Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T13:40:10Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-14T08:51:57Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T11:48:32Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T15:55:10Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-08T01:47:41Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T13:59:10Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T11:54:11Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T04:45:10Z","{""機器人數量"":19,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T11:48:11Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T04:52:32Z","{""服務項目"":""POS"",""機器人數量"":18""部門"":"台中"}"
"2024-09-09T22:24:41Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-13T15:07:32Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-13T16:03:10Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-13T03:20:57Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-08T03:07:41Z","{""服務項目"":""POS"",""機器人數量"":20""部門"":"台中"}"
"2024-09-14T10:04:57Z","{""服務項目"":""POS"",""機器人數量"":19""部門"":"台中"}"
"2024-09-10T12:10:10Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T09:07:57Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-10T22:34:07Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T05:54:11Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-10T05:00:11Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T03:34:57Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T12:18:11Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-11T04:51:32Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-14T06:56:32Z","{""服務項目"":""POS"",""機器人數量"":7""部門"":"台中"}"
"2024-09-12T09:27:57Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T23:08:57Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T13:23:10Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-12T15:01:10Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T13:00:10Z","{""服務項目"":""POS"",""機器人數量"":9""部門"":"台中"}"
"2024-09-09T08:00:41Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T12:48:11Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-14T12:00:32Z","{""服務項目"":""POS"",""機器人數量"":14""部門"":"台中"}"
"2024-09-12T12:35:35Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T09:40:57Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T11:47:11Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T23:17:57Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-14T23:49:57Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T05:34:32Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-09T10:04:41Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T15:18:10Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T05:37:32Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T08:14:57Z","{""服務項目"":""POS"",""機器人數量"":5""部門"":"台中"}"
"2024-09-08T05:59:11Z","{""服務項目"":""POS"",""機器人數量"":15""部門"":"台中"}"
"2024-09-09T09:01:41Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-13T10:47:57Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T12:06:32Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T22:04:41Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T23:53:57Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-12T03:50:57Z","{""服務項目"":""POS"",""機器人數量"":17""部門"":"台中"}"
"2024-09-08T08:49:41Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-10T04:54:11Z","{""服務項目"":""POS"",""機器人數量"":16""部門"":"台中"}"
"2024-09-13T22:08:57Z","{""服務項目"":""POS"",""機器人數量"":3""部門"":"台中"}"
"2024-09-11T09:04:57Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T09:06:57Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-09T12:08:10Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-14T23:28:57Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T06:07:32Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-12T12:11:32Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T09:08:57Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T05:57:32Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T01:08:10Z","{""服務項目"":""POS"",""機器人數量"":10""部門"":"台中"}"
"2024-09-12T06:03:32Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T07:25:10Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T10:11:41Z","{""服務項目"":""POS"",""機器人數量"":18""部門"":"台中"}"
"2024-09-09T10:35:41Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T11:31:10Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T12:36:32Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-08T09:11:41Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-08T09:35:41Z","{""服務項目"":""POS"",""機器人數量"":15""部門"":"台中"}"
"2024-09-08T09:36:41Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T05:28:32Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T12:16:11Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T06:57:10Z","{""服務項目"":""POS"",""機器人數量"":4""部門"":"台中"}"
"2024-09-14T11:54:32Z","{""服務項目"":""POS"",""機器人數量"":15""部門"":"台中"}"
"2024-09-11T04:57:32Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T04:05:57Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T01:51:10Z","{""服務項目"":""POS"",""機器人數量"":9""部門"":"台中"}"
"2024-09-14T00:33:57Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-12T12:17:32Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T06:13:32Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-11T22:46:57Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-14T06:50:10Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-10T03:32:41Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-10T03:33:41Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-11T10:14:57Z","{""服務項目"":""POS"",""機器人數量"":11""部門"":"台中"}"
"2024-09-11T10:15:57Z","{""服務項目"":""POS"",""機器人數量"":12""部門"":"台中"}"
"2024-09-13T06:04:32Z","{""服務項目"":""POS"",""機器人數量"":6""部門"":"台中"}"
"2024-09-12T12:29:32Z","{""服務項目"":""POS"",""機器人數量"":8""部門"":"台中"}"
"2024-09-13T05:16:32Z","{""服務項目"":""POS"",""機器人數量"":14""部門"":"台中"}"
"2024-09-14T03:28:57Z","{""機器人數量"":20,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T10:05:57Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-13T10:07:57Z","{""服務項目"":""POS"",""機器人數量"":14""部門"":"台中"}"
